fips,heart_disease_death_rate,stroke_death_rate,diabetes_prevalence_pct
17041,290.0,63.4,9.8
17043,250.8,80.1,8.5
17045,405.7,67.4,10.2
17047,395.2,91.9,10.7
17049,296.2,80.4,9.2
17051,321.0,85.6,11.0
17053,363.7,90.8,10.0
17055,343.6,85.4,10.9
17057,377.9,83.2,10.4
17059,375.4,86.5,10.5
17061,389.7,79.2,10.2
17063,331.3,86.7,9.1
17065,374.9,96.3,10.7
17067,349.8,86.8,9.7
17069,420.1,100.0,10.5
17071,418.2,74.9,9.8
17073,375.2,73.1,9.2
17075,403.6,94.1,10.6
17077,339.8,73.6,11.8
17079,317.9,84.2,9.1
17081,390.4,96.6,10.6
17083,416.9,73.6,9.2
17085,297.6,60.2,9.0
17087,305.8,68.8,11.3
17089,251.7,86.1,10.1
17091,435.2,86.6,11.3
17093,248.3,82.0,9.1
17095,380.5,80.9,10.9
17097,251.5,63.0,9.8
17099,359.2,83.5,10.0
17101,338.5,96.1,11.2
17103,356.7,81.1,10.2
17105,368.4,81.6,9.9
17107,334.9,64.2,9.9
17109,392.1,109.0,10.8
17111,289.5,70.7,8.8
17113,324.5,61.3,9.5
17115,337.9,62.4,10.8
17117,370.4,98.1,9.9
17119,388.3,124.5,9.5
17121,420.1,96.9,10.6
17123,354.5,81.9,9.7
17125,334.0,75.8,10.0
17127,330.3,85.7,10.8
17129,313.7,61.7,9.0
17131,345.7,69.8,9.6
17133,338.2,85.6,7.8
17135,341.1,110.7,10.1
17137,450.3,66.5,10.3
17139,329.2,63.5,9.5
17141,326.1,76.8,9.7
17143,337.6,79.4,10.9
17145,349.6,76.4,11.2
17147,320.5,62.3,8.4
17149,314.9,78.3,10.4
17151,300.7,79.0,9.8
17153,431.7,93.6,14.5
17155,359.6,82.8,8.9
17157,347.6,87.6,10.5
17159,374.1,86.5,9.9
17161,350.5,69.9,10.8
17163,363.6,112.2,11.2
17165,377.6,83.7,10.6
17167,330.4,60.1,9.8
17169,351.3,104.3,11.0
17171,395.6,69.8,9.4
17173,326.9,67.8,9.6
17175,360.6,81.1,9.7
17177,309.4,74.1,10.4
17179,324.3,72.8,9.1
17181,449.4,89.3,10.9
17183,365.1,89.7,11.7
17185,336.5,96.0,10.4
17187,407.2,84.8,10.3
17189,359.9,103.2,9.0
17191,390.6,101.5,10.5
17193,380.3,85.2,11.1
17195,374.1,72.7,10.2
17197,312.6,85.4,9.5
17199,301.2,76.1,10.0
17201,359.9,86.0,11.7
17203,332.8,76.4,8.6
18001,296.7,84.4,12.1
18003,323.1,89.0,11.8
18005,316.2,80.2,11.0
18007,384.9,79.5,11.9
18009,367.6,99.6,12.7
18011,347.7,66.5,9.3
18013,301.0,71.9,10.3
18015,267.1,61.1,10.9
18017,271.0,73.6,12.7
18019,382.4,77.1,10.9
18021,441.7,76.5,11.5
18023,312.2,86.1,11.7
18025,374.9,92.3,13.5
18027,369.4,86.5,12.0
18029,337.5,83.8,9.9
18031,354.6,87.7,10.4
18033,334.3,87.8,10.8
18035,390.1,98.9,12.9
18037,362.5,89.6,10.7
18039,332.6,90.5,12.2
18041,457.6,92.5,12.3
18043,346.8,74.3,10.6
18045,387.5,81.3,11.2
18047,318.2,94.0,10.7
18049,378.2,88.7,11.5
18051,377.8,80.9,10.8
18053,360.6,100.1,13.0
18055,370.3,71.0,11.6
18057,244.7,71.0,8.6
18059,284.9,81.9,9.5
18061,322.6,73.3,10.2
18063,309.3,70.1,9.9
18065,358.7,94.0,11.2
18067,425.0,82.4,11.8
18069,326.7,98.7,11.1
18071,359.1,87.8,11.6
18073,411.4,72.3,10.3
18075,321.2,86.8,12.2
18077,399.2,84.0,11.1
18079,379.3,89.7,11.9
18081,345.6,80.2,10.7
18083,384.9,97.8,11.4
18085,348.2,90.6,10.9
18087,339.5,88.5,11.1
18089,394.3,79.2,12.9
18091,415.7,73.8,12.5
18093,359.9,77.1,11.0
