fips,lung_cancer_death_rate,lung_cancer_avg_annual_count
48407,47.8,23
53015,47.8,75
55051,47.8,7
30061,47.8,4
18119,47.8,16
01095,47.7,63
20145,47.7,5
47019,47.7,44
39119,47.7,58
51690,47.7,9
13069,47.7,24
48291,47.7,45
29115,47.7,9
28077,47.7,8
21117,47.6,93
45027,47.6,25
54037,47.6,37
29109,47.6,26
51530,47.6,5
54083,47.6,22
18013,47.6,13
48457,47.6,15
36075,47.6,75
56045,47.5,5
29171,47.5,4
21059,47.5,65
22081,47.5,6
22107,47.5,4
22067,47.5,17
20197,47.5,5
20037,47.5,22
37171,47.5,54
29127,47.5,20
17099,47.5,78
12007,47.5,19
29021,47.4,53
40147,47.4,37
28119,47.4,4
01029,47.4,11
22097,47.4,51
37111,47.4,34
48001,47.4,32
13193,47.4,8
21033,47.4,9
26011,47.3,13
51141,47.3,16
39031,47.3,26
22123,47.3,7
51185,47.3,32
42059,47.3,25
29009,47.2,27
05095,47.2,6
48387,47.2,10
01045,47.2,32
37073,47.2,8
22043,47.2,13
17187,47.2,12
28153,47.1,12
21089,47.1,27
28015,47.1,8
19175,47.1,9
39013,47.1,48
17137,47.1,24
54039,47.1,134
54011,47.1,63
01111,47.1,16
18181,47.1,18
47011,47.1,69
28051,47.1,10
22111,47.0,16
26123,47.0,37
27029,47.0,6
42099,47.0,32
28045,47.0,35
13019,47.0,12
22101,47.0,32
51097,47.0,6
13091,46.9,14
18167,46.9,66
29179,46.9,5
28009,46.9,5
48483,46.9,4
01121,46.9,56
18121,46.8,11
37101,46.8,111
48133,46.8,14
28031,46.8,12
54069,46.7,31
45059,46.7,46
05027,46.7,14
42057,46.7,11
31147,46.7,7
28067,46.6,41
17055,46.6,27
20107,46.6,8
48503,46.6,13
22045,46.6,40
12023,46.5,50
47001,46.5,56
28085,46.5,22
21179,46.5,29
13175,46.5,31
39129,46.5,35
37143,46.5,12
48097,46.5,29
40081,46.5,24
01075,46.5,11
05003,46.4,14
36015,46.4,59
48037,46.4,56
51139,46.4,19
17191,46.4,13
05145,46.4,47
29041,46.4,6
29201,46.4,25
17117,46.4,32
28095,46.3,24
20035,46.3,23
19015,46.3,17
26117,46.3,43
28023,46.3,12
26107,46.3,27
54007,46.3,11
37181,46.2,28
05081,46.2,9
20139,46.2,11
37017,46.2,24
21223,46.2,5
26153,46.2,7
54035,46.2,21
13255,46.2,44
12033,46.2,200
01037,46.2,9
39097,46.2,26
28001,46.1,22
18031,46.1,17
51111,46.1,10
18067,46.1,57
22127,46.0,9
29131,46.0,17
05085,46.0,40
29097,46.0,70
29013,46.0,11
01039,46.0,29
20059,45.9,16
13263,45.9,5
18061,45.9,27
39167,45.9,45
54085,45.9,7
