tract_fips,food_insecurity_pct,housing_insecurity_pct,transportation_barrier_pct,uninsured_pct,depression_pct,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,E_TOTPOP,E_POV150,E_UNEMP,E_HBURD,E_UNINSUR,E_NOHSDP,food_insecurity_pct_pctile,housing_insecurity_pct_pctile,transportation_barrier_pct_pctile,uninsured_pct_pctile,depression_pct_pctile,RPL_THEMES_pctile,neonatal_risk_proxy_score
45019002801,8.7,7.8,5.1,7.4,21.6,0.0526,0.1274,0.0593,0.3438,0.1209,5033,468,28,566,200,60,0.3520408163265306,0.39285714285714285,0.336734693877551,0.3112244897959184,0.6020408163265306,0.1836734693877551,0.36309523809523814
45019004619,8.0,6.8,4.9,7.2,22.1,0.1897,0.1679,0.0582,0.1973,0.6537,5491,902,26,525,172,217,0.2857142857142857,0.25,0.29081632653061223,0.29591836734693877,0.6938775510204082,0.336734693877551,0.35884353741496594
45019005601,8.2,7.7,4.9,7.5,21.2,0.1845,0.1514,0.0695,0.4856,0.5078,9135,640,46,1133,407,164,0.3010204081632653,0.3622448979591837,0.29081632653061223,0.33163265306122447,0.5306122448979592,0.32653061224489793,0.35714285714285715
45019004618,7.4,7.0,4.5,6.8,22.3,0.1608,0.3378,0.1428,0.2895,0.1481,7141,414,113,707,253,505,0.25,0.2755102040816326,0.25,0.24489795918367346,0.7653061224489796,0.30612244897959184,0.3486394557823129
45019004620,7.2,6.1,4.4,6.8,21.3,0.3635,0.6412,0.0892,0.1372,0.4261,4601,880,181,782,365,175,0.22959183673469388,0.21428571428571427,0.22959183673469388,0.24489795918367346,0.5663265306122449,0.5102040816326531,0.33248299319727886
45019004610,7.7,7.0,4.6,6.8,21.0,0.1382,0.1067,0.3412,0.293,0.2195,5446,445,73,233,213,190,0.2755102040816326,0.2755102040816326,0.2653061224489796,0.24489795918367346,0.45408163265306123,0.2755102040816326,0.29846938775510207
45019003500,7.2,7.1,4.5,6.9,21.8,0.0046,0.1141,0.0495,0.1372,0.0061,3254,156,19,326,203,56,0.22959183673469388,0.29591836734693877,0.25,0.2653061224489796,0.6377551020408163,0.04081632653061224,0.28656462585034015
45019004621,6.2,5.5,3.9,6.1,21.2,0.2843,0.1097,0.5897,0.0821,0.5928,5422,367,53,465,213,131,0.19387755102040816,0.15816326530612246,0.17346938775510204,0.1836734693877551,0.5306122448979592,0.40816326530612246,0.27465986394557823
45019003000,6.1,5.6,4.0,5.9,22.1,0.0672,0.212,0.0623,0.1009,0.1449,3690,472,121,390,59,42,0.17857142857142858,0.17857142857142858,0.19387755102040816,0.16326530612244897,0.6938775510204082,0.19387755102040816,0.2670068027210884
45019005701,7.4,6.6,4.4,6.7,20.9,0.0332,0.1774,0.1213,0.2787,0.0181,5501,481,115,333,358,76,0.25,0.23469387755102042,0.22959183673469388,0.2193877551020408,0.42346938775510207,0.16326530612244897,0.2534013605442177
45019002005,6.9,6.2,4.1,6.7,21.4,0.0084,0.025,0.0595,0.0759,0.063,6455,84,46,359,253,65,0.21428571428571427,0.22448979591836735,0.20918367346938777,0.2193877551020408,0.5816326530612245,0.061224489795918366,0.25170068027210885
45019000500,5.1,4.6,3.8,5.0,23.3,0.0223,0.223,0.04,0.0632,0.0347,1464,292,31,228,19,5,0.07653061224489796,0.07142857142857142,0.14795918367346939,0.08163265306122448,0.8979591836734694,0.12244897959183673,0.23299319727891155
45019002802,6.0,5.6,3.8,6.1,21.2,0.0248,0.1248,0.0541,0.1496,0.063,2443,150,50,151,177,21,0.15816326530612246,0.17857142857142858,0.14795918367346939,0.1836734693877551,0.5306122448979592,0.15306122448979592,0.2253401360544218
45019004622,6.7,5.7,4.1,6.2,19.4,0.2589,0.1552,0.2066,0.2044,0.6641,5223,602,65,541,75,107,0.20408163265306123,0.19387755102040816,0.20918367346938777,0.20408163265306123,0.11734693877551021,0.37755102040816324,0.217687074829932
45019004614,6.1,6.0,3.9,5.6,20.7,0.0766,0.0428,0.4765,0.1711,0.1152,6816,421,48,646,108,5,0.17857142857142858,0.20408163265306123,0.17346938775510204,0.14285714285714285,0.3520408163265306,0.21428571428571427,0.21088435374149658
45019004613,6.0,5.5,3.9,5.4,21.5,0.0024,0.002,0.0097,0.1513,0.1564,1764,55,5,15,22,20,0.15816326530612246,0.15816326530612246,0.17346938775510204,0.11224489795918367,0.5918367346938775,0.02040816326530612,0.20238095238095236
45019004701,5.6,5.3,3.6,5.5,21.1,0.0228,0.1277,0.0479,0.1808,0.0567,6617,250,114,443,540,92,0.11224489795918367,0.1377551020408163,0.11224489795918367,0.12755102040816327,0.4846938775510204,0.1326530612244898,0.18452380952380953
45019004617,5.4,5.3,3.6,5.0,21.0,0.0693,0.0529,0.1946,0.1537,0.2049,9219,519,206,274,254,29,0.10204081632653061,0.1377551020408163,0.11224489795918367,0.08163265306122448,0.45408163265306123,0.20408163265306123,0.18197278911564627
45019002007,5.8,5.2,3.6,6.1,20.4,0.0146,0.0183,0.1564,0.0375,0.0623,3556,113,11,104,23,165,0.1326530612244898,0.12244897959183673,0.11224489795918367,0.1836734693877551,0.29081632653061223,0.11224489795918367,0.15901360544217688
45019002004,5.9,5.0,3.6,5.5,20.1,0.0338,0.0587,0.0634,0.0,0.1985,684,45,0,59,21,34,0.14285714285714285,0.09693877551020408,0.11224489795918367,0.12755102040816327,0.23979591836734693,0.17346938775510204,0.1488095238095238
45019004616,5.2,4.8,3.4,5.1,19.8,0.1491,0.0525,0.6694,0.2255,0.1954,8375,384,78,730,158,72,0.09183673469387756,0.08163265306122448,0.07653061224489796,0.10204081632653061,0.19387755102040816,0.2857142857142857,0.13860544217687074
45019002606,5.7,5.1,3.6,5.8,19.5,0.0235,0.034,0.0688,0.1433,0.1317,2429,208,10,130,64,41,0.12244897959183673,0.11224489795918367,0.11224489795918367,0.15306122448979592,0.1377551020408163,0.14285714285714285,0.1301020408163265
45019004615,5.1,5.0,3.4,5.0,20.6,0.0007,0.0037,0.0419,0.0309,0.0161,5979,218,30,268,0,0,0.07653061224489796,0.09693877551020408,0.07653061224489796,0.08163265306122448,0.3163265306122449,0.01020408163265306,0.1096938775510204
45019004901,4.8,4.3,3.2,4.8,19.8,0.0095,0.0591,0.0349,0.0096,0.0795,1859,101,0,141,122,0,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.19387755102040816,0.07142857142857142,0.08503401360544217
45019004800,4.2,3.8,3.0,4.3,19.6,0.0096,0.0229,0.0983,0.0294,0.0535,2317,250,19,106,32,0,0.05102040816326531,0.05102040816326531,0.05102040816326531,0.04081632653061224,0.15306122448979592,0.08163265306122448,0.07142857142857142
45019004902,3.8,3.4,2.7,4.0,18.9,0.005,0.0069,0.062,0.0594,0.0613,2488,106,14,90,58,9,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.030612244897959183,0.0663265306122449,0.05102040816326531,0.045068027210884355
45019000200,3.7,3.1,2.5,4.5,17.9,0.0101,0.0489,0.0303,0.0151,0.1077,1232,77,6,149,0,32,0.030612244897959183,0.030612244897959183,0.030612244897959183,0.05102040816326531,0.030612244897959183,0.09183673469387756,0.04421768707482993
45019002104,2.9,2.3,2.0,3.2,16.3,0.0109,0.0201,0.028,0.0077,0.1835,2130,84,26,113,0,10,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.015306122448979591,0.01020408163265306,0.10204081632653061,0.026360544217687076
45019002105,3.1,2.4,2.1,3.2,16.6,0.004,0.0176,0.0347,0.0151,0.0641,2155,137,5,216,27,10,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.015306122448979591,0.02040816326530612,0.030612244897959183,0.021258503401360544
